ID,Quantity,Description,Name,Already have?,3D printed,Price,Purchase Link
,1,,Left X joint bottom,,t,,
,1,,Left X joint top,,t,,
,1,,Right X joint bottom,,t,,
,1,,Right X joint top,,t,,
,2,,Z+AC0-Axis Motor Inside Bracket,,t,,
,2,,bed +AC0- linear bearing mount corner,,t,,
,2,,bed +AC0- linear bearing mount corner mirror,,t,,
,4,,bed +AC0- frame mount,,t,,
,2,,bed +AC0- lead screw nut mount,,t,,
,4,,bed +AC0- thumb screw,,t,,
,1,,Z endstop mount,,t,,
,4,,base standoff,,t,,
,4,,DIN rail drop,,t,,
,2,,DIN rail clip +AC0-  LRS200 LRS350,,t,,
,2,,DIN rail clip +AC0- Octopus pro,,t,,
,4,,frame stiffener side mount,,t,,
,8,,frame stiffener,,t,,
,1,,Left Motor Mount,,t,,
,1,,Left Motor Mount Top,,t,,
,1,,Left Tensioner,,t,,
,1,,Right Motor Mount,,t,,
,1,,Right Motor Mount Top,,t,,
,1,,Right Tensioner,,t,,
,2,,Tensioner Plate,,t,,
,2,,DIN rail clip +AC0- RPI4,,t,,
,1,,PSU switch mount,,t,,
,1,,Carraige +AC0- back plate,,t,,
,2,,Carraige +AC0- Belt clampx2,,t,,
,1,,Carraige +AC0- bottom,,t,,
,1,,Carraige +AC0- front belt plate,,t,,
,1,,Carraige +AC0- lock clamp,,t,,
,1,,Carraige +AC0- lock slider,,t,,
,1,,Carraige +AC0- Rail mount,,t,,
,1,,Carraige +AC0- spring plate,,t,,
,1,,Rapido Orbiter Toolhead +AC0- mount,,t,,
,1,,Rapido Orbitor Toolhead +AC0- Duct,,t,,
,4,,Tool Bay +AC0- Basic,,t,,
,3,,Rail End Stop,,t,,
1,4,370mm beam,2020 extrusion 370mm,t,,10,
,4,440 beam,2020 extrusion 440mm,t,,10,
,4,410mm beam,2020 extrusion 410mm,t,,10,
,2,,Z Stepper Ender 3 42+AC0-40,t,,8.55,
,8,,10mm Clamp,t,,1.43,
,4,,10mm Rod,t,,1.41,
,4,,10mm Rod Bearing,t,,1.33,
,2,,5mm to 8mm Coupler,t,,2,
,2,,TR8 Nut,t,,1.5,
,2,,TR8 LeadScrew,t,,1.2,
,1,2nd hand,Ender 3 Bed,t,,9.55,
,2,,370mm DIN rail,t,,7.54,
,1,2nd hand,PSU Meanwell 350W 24V,t,,15.44,
,1,2nd hand,BTT Octopus Pro,t,,32.44,
,1,2nd hand,Raspberry Pi 4 Model B,t,,20,
,1,,AC+AC0-01A PSU Switch,t,,5,
,1,,5015 Blower Fan,t,,5,
,1,,ZeroG Mercury Fastener Kit (Includes most screws needed for XY axis),t,,20.99,https://west3d.com/products/bdf+AC0-zerog+AC0-mercury+AC0-one+AC0-ender+AC0-conversion+AC0-fastener+AC0-kit+AC0-zero+AC0-g?+AF8-pos+AD0-1+ACYAXw-psq+AD0-zerog+mercuv/9ACYAXw-ss+AD0-e+ACYAXw-v+AD0-1.0
,1,,+ACI-Trident Gates Motion Kit (Includes pulleys, idlers, bearings and belts)+ACI-,t,,45,https://west3d.com/products/west3d+AC0-bdm+AC0-trident+AC0-motion+AC0-set+AC0-silver+AC0-darkside+AC0-black?variant+AD0-43700602699988
,10,,M5x30 Shafts,t,,5,https://west3d.com/products/round+AC0-shafts+AC0-5x30mm+AC0-5x60mm?variant+AD0-41971072991444
,1,,330mm linear rail,,,32.99,https://www.fabreeko.com/products/honeybadger+AC0-mgn12c+AC0-stainless+AC0-steel+AC0-rails?+AF8-pos+AD0-1+ACYAXw-sid+AD0-613dba29e+ACYAXw-ss+AD0-r+ACY-variant+AD0-42780752609535
,2,,350mm linear rail,,,70.58,https://www.fabreeko.com/products/honeybadger+AC0-mgn12c+AC0-stainless+AC0-steel+AC0-rails?+AF8-pos+AD0-1+ACYAXw-sid+AD0-613dba29e+ACYAXw-ss+AD0-r+ACY-variant+AD0-42106258194687
,2,,Nema 17 Stepper LDO 42STH48+AC0-2804AH HT,,,55.98,https://www.fabreeko.com/products/ldo+AC0-42sth48+AC0-2804+AC0-ac+AC0-ah+AC0-ahs80+AC0-super+AC0-power+AC0-motors+AC0-by+AC0-ldo?+AF8-pos+AD0-1+ACYAXw-sid+AD0-70e9aedcf+ACYAXw-ss+AD0-r+ACY-variant+AD0-43913432891647
,2,for bed,2020 extrusion 230mm,,,10,
,2,for bed,2020 extrusion 250mm,,,10,
,20,+ACI-Choose the S6 varient, with SUS440C material, FDWN+AC0-S6+AC0-D3+AC0-L15+ACI-,m3 x 16mm dowel pin,,,5.5,https://jlcmc.com/product/s/F02/FDWN/positioning+AC0-pin+AC0-straight+AC0-rod+AC0-h7
,3,+ACI-Choose the S1 varient, with SUS304 material FDWN+AC0-S1+AC0-D3+AC0-L20+ACI-,m3 x 20mm dowel pin,,,0.9,https://jlcmc.com/product/s/F02/FDWN/positioning+AC0-pin+AC0-straight+AC0-rod+AC0-h7
,2,FDWN+AC0-S6+AC0-D3+AC0-L30 ,m3 x 30mm dowel pin filed down,,,0.74,https://jlcmc.com/product/s/F02/FDWN/positioning+AC0-pin+AC0-straight+AC0-rod+AC0-h7
,4,,spring OD6 ID5 Length 10mm,,,1,https://jlcmc.com/product/s/A04/ATHX/heat+AC0-temperature+AC0-compression+AC0-spring+AC0-l+ACU-C3+ACU-9740+ACU-25
