Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C9",0805,3,10uF,C440198
"C11, C12, C2, C3, C7, C8",0402,6,100nF,C307331
C5,0603,1,47nF,C1622
C6,0603,1,1uF,C15849
"D1, D3",SOT-23,2,BAV70,C68978
"D2, D7",D_SOD-123,2,15v Zener BZT52C15,C2932746
"D5, D6",D_SMB,2,SMBJ26A,C123820
"D8, D9",SOT-363_SC-70-6,2,NUP2301,C708740
"J1, J2, J3, J4, J5, J6, J7, J8, J9",HARWIN_S7091-42R,9,Harwin S7091-42R,C21394879
J10,PinSocket_1x02_P2.54mm_Vertical,1,Data2 in,
J11,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,1,dc=24,C430601
J12,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
Q1,TO-252-2,1,FDD86367,C903589
"Q2, Q3, Q4, Q6, Q7",SOT-23,5,BSS138,C7420339
Q5,TO-252-2,1,SP40P04TH,C41355036
"R1, R11, R12, R13, R14, R3",0402,6,100k,C25741
R10,0402,1,10ohm,C25077
"R15, R16",0402,2,5.1k,C25905
"R17, R18, R19, R20",0402,4,22ohm,C25092
"R2, R4, R5, R6",0402,4,100ohm,C25076
R7,2512,1,4mOhm,C7420003
R8,0402,1,4.7k,C25900
R9,0402,1,27k,C25771
U1,VSSOP-10_3x3mm_P0.5mm,1,TPS2491DGSR,C273636
