Designator,Quantity,Footprint,Value,DigiKey Equivalent Part #
"C1, C10, C9",15,805,10uF,GRM21BR61H106KE43L
"C11, C12, C2, C3, C7, C8",30,402,100nF,CL05B104KB54PNC
C5,10,603,47nF,CC0603JRX7R9BB473
C6,10,603,1uF,CL10A105KB8NNNC
"D1, D3",10,SOT-23,BAV70,BAV70-E3-08
"D2, D7",10,D_SOD-123,15v Zener BZT52C15,BZT52C15-E3-08
"D5, D6",10,D_SMB,SMBJ26A,SMBJ26A-13-F
"D8, D9",10,SOT-363_SC-70-6,NUP2301,NUP2301MW6T1G
"J1, J2, J3, J4, J5, J6, J7, J8, J9",45,HARWIN_S7091-42R,Harwin S7091-42R,S7091-42R
J11,5,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,dc=24,TB007-508-02BE
J12,5,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB_C_Receptacle_USB2.0_16P,USB4105-GF-A
Q1,5,TO-252-2,FDD86367,FDD86367
"Q2, Q3, Q4, Q6, Q7",25,SOT-23,BSS138,BSS138-7-F
Q5,5,TO-252-2,SP40P04TH,IPD90P04P405ATMA2
"R1, R11, R12, R13, R14, R3",30,402,100k,RC0402FR-07100KL
R10,10,402,10ohm,RC0402FR-0710RL
"R15, R16",10,402,5.1k,RC0402FR-075K1L
"R17, R18, R19, R20",25,402,22ohm,RC0402FR-0722RL
"R2, R4, R5, R6",25,402,100ohm,RC0402FR-07100RL
R7,5,2512,4mOhm,WSL25124L000FEA18
R8,10,402,4.7k,RC0402FR-074K7L
R9,10,402,27k,RC0402FR-0727KL
U1,5,VSSOP-10_3x3mm_P0.5mm,TPS2491DGSR,TPS2491DGSR
